file,package,java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#Entities.java,org.apache.lucene.demo.html,Entities.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#HTMLParser.java,org.apache.lucene.demo.html,HTMLParser.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#HTMLParserConstants.java,org.apache.lucene.demo.html,HTMLParserConstants.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#HTMLParserTokenManager.java,org.apache.lucene.demo.html,HTMLParserTokenManager.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#ParseException.java,org.apache.lucene.demo.html,ParseException.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#ParserThread.java,org.apache.lucene.demo.html,ParserThread.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#SimpleCharStream.java,org.apache.lucene.demo.html,SimpleCharStream.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#Tags.java,org.apache.lucene.demo.html,Tags.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#Token.java,org.apache.lucene.demo.html,Token.java
plugins#org.apache.lucene#src#org#apache#lucene#demo#html#TokenMgrError.java,org.apache.lucene.demo.html,TokenMgrError.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#AntCorePlugin.java,org.eclipse.ant.core,AntCorePlugin.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#AntCorePreferences.java,org.eclipse.ant.core,AntCorePreferences.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#AntRunner.java,org.eclipse.ant.core,AntRunner.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#AntSecurityException.java,org.eclipse.ant.core,AntSecurityException.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#IAntClasspathEntry.java,org.eclipse.ant.core,IAntClasspathEntry.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#IAntPropertyValueProvider.java,org.eclipse.ant.core,IAntPropertyValueProvider.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#ProjectInfo.java,org.eclipse.ant.core,ProjectInfo.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#Property.java,org.eclipse.ant.core,Property.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#TargetInfo.java,org.eclipse.ant.core,TargetInfo.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#Task.java,org.eclipse.ant.core,Task.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#core#Type.java,org.eclipse.ant.core,Type.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#AntClassLoader.java,org.eclipse.ant.internal.core,AntClassLoader.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#AntClasspathEntry.java,org.eclipse.ant.internal.core,AntClasspathEntry.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#AntObject.java,org.eclipse.ant.internal.core,AntObject.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#AntPropertyValueProvider.java,org.eclipse.ant.internal.core,AntPropertyValueProvider.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#IAntCoreConstants.java,org.eclipse.ant.internal.core,IAntCoreConstants.java
plugins#org.eclipse.ant.core#src#org#eclipse#ant#internal#core#InternalCoreAntMessages.java,org.eclipse.ant.internal.core,InternalCoreAntMessages.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#AntSecurityManager.java,org.eclipse.ant.internal.core.ant,AntSecurityManager.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#DemuxInputStreamSetter.java,org.eclipse.ant.internal.core.ant,DemuxInputStreamSetter.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#InputHandlerSetter.java,org.eclipse.ant.internal.core.ant,InputHandlerSetter.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#InternalAntMessages.java,org.eclipse.ant.internal.core.ant,InternalAntMessages.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#InternalAntRunner.java,org.eclipse.ant.internal.core.ant,InternalAntRunner.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#InternalProject.java,org.eclipse.ant.internal.core.ant,InternalProject.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#NullInputHandler.java,org.eclipse.ant.internal.core.ant,NullInputHandler.java
plugins#org.eclipse.ant.core#src_ant#org#eclipse#ant#internal#core#ant#ProgressBuildListener.java,org.eclipse.ant.internal.core.ant,ProgressBuildListener.java
plugins#org.eclipse.ant.ui#Ant Editor Content Assist Dev#TaskXMLFileMerger.java,org.eclipse.ant.internal.ui.editor.tools,TaskXMLFileMerger.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#AntDTDMessages.java,org.eclipse.ant.internal.ui.dtd,AntDTDMessages.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#IAtom.java,org.eclipse.ant.internal.ui.dtd,IAtom.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#IAttribute.java,org.eclipse.ant.internal.ui.dtd,IAttribute.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#IDfm.java,org.eclipse.ant.internal.ui.dtd,IDfm.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#IElement.java,org.eclipse.ant.internal.ui.dtd,IElement.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#IModel.java,org.eclipse.ant.internal.ui.dtd,IModel.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#ISchema.java,org.eclipse.ant.internal.ui.dtd,ISchema.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#ParseError.java,org.eclipse.ant.internal.ui.dtd,ParseError.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#Parser.java,org.eclipse.ant.internal.ui.dtd,Parser.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#AntDTDSchemaMessages.java,org.eclipse.ant.internal.ui.dtd.schema,AntDTDSchemaMessages.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Atom.java,org.eclipse.ant.internal.ui.dtd.schema,Atom.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Attribute.java,org.eclipse.ant.internal.ui.dtd.schema,Attribute.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Dfm.java,org.eclipse.ant.internal.ui.dtd.schema,Dfm.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Element.java,org.eclipse.ant.internal.ui.dtd.schema,Element.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Model.java,org.eclipse.ant.internal.ui.dtd.schema,Model.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Nfm.java,org.eclipse.ant.internal.ui.dtd.schema,Nfm.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#NfmNode.java,org.eclipse.ant.internal.ui.dtd.schema,NfmNode.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#NfmParser.java,org.eclipse.ant.internal.ui.dtd.schema,NfmParser.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#Schema.java,org.eclipse.ant.internal.ui.dtd.schema,Schema.java
plugins#org.eclipse.ant.ui#Ant Editor#org#eclipse#ant#internal#ui#dtd#schema#SchemaFactory.java,org.eclipse.ant.internal.ui.dtd.schema,SchemaFactory.java
